"ratings","claimant","claim"
"0.78"," Mike Pence","The truth of the matter is that what you have in the rise of aggressive Russia, which has had -- increased its influence in Iran, that's now -- now because of this deal is on a pathway in the future to obtain a nuclear -- the leading state sponsor of terror in the world in Iran now has a closer working relationship with Russia because of Hillary Clinton and Barack Obama's foreign policy and $150 billion and sanctions all being lifted."
"0.75"," Mike Pence","Well, look, I -- you're running with Hillary Clinton, who wants to raise taxes by $1 trillion, increase spending by $2 trillion, and you say you're going to keep the promises of Social Security."
"0.71"," Mike Pence","And because Hillary Clinton failed to renegotiate a status of forces agreement that would have allowed some American combat troops to remain in Iraq and secure the hard fought gains the American soldier had won by 2009, ISIS was able to be literally conjured up out of the desert, and it's overrun vast areas that the American soldier had won in Operation Iraqi Freedom."
"0.70"," Tim Kaine","And instead of 175,000 American troops deployed overseas, we now have 15,000."
"0.69"," Tim Kaine","She worked across the aisle when she was first lady to get the CHIP program passed so that 8 million low-income kids have health insurance in this country, including 150,000 in Indiana."
"0.69"," Mike Pence","Look, Donald Trump and I have a plan to get this economy moving again just the way that it worked in the 1980s, just the way it worked in the 1960s, and that is by lowering taxes across the board for working families, small businesses and family farms, ending the war on coal that is hurting jobs and hurting this economy even here in Virginia, repealing Obamacare lock, stock, and barrel, and repealing all of the executive orders that Barack Obama has signed that are stifling economic growth in this economy."
"0.68"," Mike Pence","... we delivered $400 million in cash as a ransom payment for Americans held by the radical mullahs in Tehran."
"0.67"," Mike Pence","Less than ten cents on the dollar in the Clinton Foundation has gone to charitable causes."
"0.67"," Tim Kaine","The problem with this, Elaine, is that's exactly what we did 10 years ago and it put the economy into the deepest recession -- the deepest recession since the 1930s."
"0.65"," Mike Pence","We cut taxes, we've made record investments in education and in infrastructure, and I still finish my term with $2 billion in the bank."
"0.65"," Tim Kaine","Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes."
"0.65"," Tim Kaine","Donald Trump proposes to deport 16 million people, 11 million who are here without documents."
"0.65"," Mike Pence","I will tell you, after two Syrian refugees were involved in the attack in Paris that is called Paris' 9/11, as governor of the state of Indiana, I have no higher priority than the safety and security of the people of my state."
"0.64"," Mike Pence","And with regard to paying taxes, this whole riff about not paying taxes and people saying he didn't pay taxes for years, Donald Trump has created tens of thousands of jobs."
"0.64"," Mike Pence","And then we found, thanks to the good work of the Associated Press, that more than half her private meetings when she was secretary of state were given to major donors of the Clinton Foundation."
"0.64"," Mike Pence","Weakened America's place in the world after the leadership of Hillary Clinton and Barack Obama on the world stage has been followed by an economy that is truly struggling, stifled by an avalanche of more taxes, more regulation, Obamacare, the war on coal, and the kind of trade deals that have put American workers in the back seat."
"0.63"," Tim Kaine","Second thing is we invest in our workforce, from pre-K education to great teachers to debt-free college and tuition-free college for families that make less than $125,000 a year."
"0.63"," Mike Pence","I mean, to be honest with you, if Donald Trump had said all of the things that you've said he said in the way you said he said them, he still wouldn't have a fraction of the insults that Hillary Clinton leveled when she said that half of our supporters were a basket of deplorables."
"0.62"," Tim Kaine","Independent analysts say the Clinton plan would grow the economy by 10.5 million jobs."
"0.62"," Tim Kaine","Do you know that we had 175,000 troops deployed in the battlefield in Iraq and Afghanistan?"
"0.62"," Mike Pence","In the state of Indiana, we've cut unemployment in half; unemployment doubled when he was governor."
"0.62"," Tim Kaine","The State Department did an investigation, and they concluded that everything Hillary Clinton did as secretary of state was completely in the interest of the United States."
"0.62"," Mike Pence","That reset resulted in the invasion of Ukraine, after they'd infiltrated with what are called little green men, Russian soldiers that were dressing up like Ukrainian dissidents, and then they moved all the way into Crimea, took over the Crimean Peninsula."
